Tweet ID,created_at,full_text
tweet_id:1825141485534052775,2024-08-18T12:03:34.000Z,"VIERNES DE TERROR EN CONCEPCIÓN |

🗣️ Los malvivientes, cinco hombres encapuchados, irrumpieron en la propiedad alrededor de las 05:00 horas de la mañana, portando armas de fuego.

#1000Noticias #1000am 📻🎙️

➕ INFO en: 👇

https://t.co/XmxsMvpSXg"
tweet_id:1825141402356875679,2024-08-18T12:03:14.000Z,"VIERNES DE TERROR EN CONCEPCIÓN |

🗣️ Los malvivientes, cinco hombres encapuchados, irrumpieron en la propiedad alrededor de las 05:00 horas de la mañana, portando armas de fuego.

#1000Noticias #1000am 📻🎙️

➕ INFO en: 👇

https://t.co/9MVJSwdJGa"
tweet_id:1825008456149172285,2024-08-18T03:14:57.000Z,"@RicardoMonrealA @Mx_Diputados En pocas palabras. “El asalto a los derechos del pueblo a la información, a un juez independiente del poder en turno y a la libertad de mercado, ha sido acordado y aprobado por el partido hegemónico “. El PRI de los 70’s regresó 🤔☹️☹️"
tweet_id:1824921544595746959,2024-08-17T21:29:36.000Z,"El 14 de julio de 1789, el asalto a la Bastilla marcó el inicio de la Revolución Francesa. ¡Un símbolo de la lucha por la libertad y el fin de la opresión! 🇫🇷✊ #Historia #RevoluciónFrancesa #DíaDeLaBastilla https://t.co/VZuYCw4oJ5"
tweet_id:1824850736230068470,2024-08-17T16:48:14.000Z,"#País Un grupo armado asaltó y tomó de rehenes a empleados de una estancia en Paso Barreto, Concepción, pero la oportuna intervención de los agentes de la Policía Nacional frustró el robo enfrentándose a balazos con los abigeos.
#TodoEstáEnLN https://t.co/UME3EC6wnt"
tweet_id:1824692166704193861,2024-08-17T06:18:08.000Z,"@FranciscoBurgoa ¿ Porqué no hacerlo ?,  les ha funcionado, la única verdad es que no podemos permitir esta farsa,  este asalto a la libertad de los mexicanos."
tweet_id:1824591515747824111,2024-08-16T23:38:11.000Z,"Para mandar a Manuel Menéndez Castellanos de vuelta a Cuba que @MarioJPenton le impute cargos criminales por asalto, que donde existe la libertad nadie está por encima de la ley. https://t.co/X20bc6pNRF"
tweet_id:1824571109590606017,2024-08-16T22:17:06.000Z,"🚨AHORA
#ASALTO a camioneta de Mercado Libre en población Lorenzo Arenas de Concepción @Mercadolibre https://t.co/62076HMfr5"
tweet_id:1824558149346738687,2024-08-16T21:25:36.000Z,"La q hacían el asalto eran del mir o del fpmr, avísenle a meo q su papá era militante del mir, y le dio muerte al cabo aroca de carabineros en Concepción"
tweet_id:1824554647765344737,2024-08-16T21:11:41.000Z,"Llega la noche, y los soldados de la 3ª Brigada de Asalto están listos.
#Ucrania, lucha por la libertad, horario, 24/7... https://t.co/Muqd4mvqlh"
tweet_id:1824530353505395072,2024-08-16T19:35:09.000Z,"brinks tiene vidrios blindados en su oficina, pero los muros no tienen puntas, mallas electrificadas ni cortantes... ni vidrios por ultimo como se hacia antes en las casas... huele a dato el asalto..."
tweet_id:1824247791654219864,2024-08-16T00:52:21.000Z,"#INFO➕ | Concepción: millonario asalto a camión repartidor.

Mira el programa completo para enterarte de más ⬇️
🖥️ https://t.co/fYMaekk5tL

| @diegoaguerodua | @saruayala https://t.co/7bbX1VgxIy"
tweet_id:1824221322760560880,2024-08-15T23:07:10.000Z,"@lancelot_28 @tragicamilaa Y aún así, las casas en la Renca, Pintana, Pte asalto, son mucho mejores que el callao, san juan de lurigancho , etc"
tweet_id:1824127179967566158,2024-08-15T16:53:05.000Z,"En la mañana de este miércoles, un camión repartidor de la empresa Santa Teresa fue víctima de un violento asalto a mano armada en la Ruta PY22, en el tramo que conecta Concepción con Vallemí. El atraco ocurrió en el distrito de San Alfredo, donde dos delincuentes interceptaron https://t.co/5D8ddAfFZ5"
tweet_id:1823859057842958402,2024-08-14T23:07:39.000Z,"#País. Trabajadores de la distribuidora Casa Santa Teresa S.R.L. fueron interceptados por malvivientes que los despojaron de todo el dinero con el que contaban en su poder. El hecho se registró en la zona de San Alfredo en Concepción. #TodoEstáEnLN 
https://t.co/8ZeSnC0cmR"
tweet_id:1823799291594596557,2024-08-14T19:10:10.000Z,"Funcionarios de una transportadora fueron víctimas de dos presuntos delincuentes armados, quienes interceptaron el camión desde un yuyal. Durante el asalto, se llevaron G. 90 millones.
https://t.co/Smjnj1PMx1"
tweet_id:1823774392007925973,2024-08-14T17:31:13.000Z,"@riellodecba @JMilei El MARRANO CONVERSO, no es BOBO, NO ES TONTO, LOS VIVOS, SON LOS QUE SE REÚNEN EN EL HOTEL DE LA LIBERTAD, PARA PLANIFICAR EL ASALTO Y SAQUEÓ, SORPRENDE QUE RIFEN LA PATRIA PARS BENEFICIAR A SUS AMIGOS DE LA BICICLETA FINANCIERA"
tweet_id:1823757797609365767,2024-08-14T16:25:17.000Z,"📰 Asalto a los derechos humanos, la libertad y la democracia.

@dlacalle en https://t.co/P0woGCke4a https://t.co/A2eSpznzNJ https://t.co/SkhrgcqGze"
tweet_id:1823751876502020258,2024-08-14T16:01:45.000Z,"#Móvil970 @legnarrow | Concepción: roban G. 90 millones en asalto a camión repartidor en la ruta PY22.

👥#2EnLaCiudad
📺@SomosGEN
📻#Universo970AM https://t.co/BTUgC3gjjo"
tweet_id:1823732230092681241,2024-08-14T14:43:41.000Z,"Durante la mañana de este miércoles, sobre la Ruta PY 22 se reportó un asalto millonario. 

Los delincuentes robaron a unos trabajadores G. 90 millones. 

Ocurrió en el distrito de San Alfredo, Concepción. https://t.co/wBxADz69CR"
tweet_id:1823715876346171819,2024-08-14T13:38:42.000Z,"Se lo acusa de haber protagonizado un violento asalto contra una mujer a la que amenazó con un cuchillo y le robó sus pertenencias. 
https://t.co/f1oGyrynhP"
tweet_id:1823701221296812352,2024-08-14T12:40:28.000Z,"@AdolfoG18665054 En mi opinión estoy de acuerdo y empezando con el sistema de asalto, 3 sorprenderemos a 1 y así sucesivamente tal y como ellos lo hacen, solo que lo aremos al estilo sorpresa sin entrar en las casas ya que ese es su modo operandi, nosotros en las calles..."
tweet_id:1823443801542668638,2024-08-13T19:37:34.000Z,"@Isdel50474711 @TheObjective_es Aquí lo tienes  la libertad de expresión 
Atacando el Congreso  Americanos  y matando Policías  en el asalto 
Eso se llama Libertad de expresión https://t.co/1THNqsmqIS"
tweet_id:1823443213430005766,2024-08-13T19:35:14.000Z,#QUITO | La víctima tiene 25 años de edad y fue auxiliada por los moradores de La Mena. El agresor portaba un arma blanca. https://t.co/PD1SF0PM3a https://t.co/LOiFQcFUGj
tweet_id:1823433977551839362,2024-08-13T18:58:32.000Z,La canalla del ppso europeo deseaba imponer Censura en X un asalto a la libertad HPs https://t.co/TuGBsRD78a
tweet_id:1823147578286071928,2024-08-13T00:00:29.000Z,"@Angie_cinnamon Delitos electorales, corrupción, enriquecimiento ilícito, lavado de dinero, crimen organizado, asociación delictuosa, privación ilegal de la libertad, portación de arma de fuego para uso exclusivo del ejército, extorsión, robo a casa habitación, asalto a mano armada."
tweet_id:1822843071140094461,2024-08-12T03:50:29.000Z,"@PartidoMorenaMx PARA ESTO QUIERE #AmloNarcoPresidente designar a sus compadres como candidatos a Ministros, Jueces y Magistrados del Poder Judicial, para que hagan lo que él les diga !!! 
Si logran el asalto al Poder Judicial, se acabó la libertad de México, igual que en Venezuela! https://t.co/CGIjCBbnFl"
tweet_id:1822785683720900677,2024-08-12T00:02:27.000Z,"Luego que se suscitara un ataque armado por el asalto y robo a un local comercial en #Jipijapa, la Policía Nacional logró la localización y aislamiento de dos ciudadanos, quienes fueron reconocidos por  moradores como presuntos causantes del hecho violento que dejó un fallecido https://t.co/3Ult6VU9dM"
tweet_id:1822769756941791503,2024-08-11T22:59:10.000Z,"Luego que se suscitara un ataque armado por el asalto y robo a un local comercial en #Jipijapa, la Policía Nacional logró la localización y aislamiento de dos ciudadanos, quienes fueron reconocidos por  moradores como presuntos causantes del hecho violento que dejó un fallecido https://t.co/QgtCCCwomk"
